SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
♪ I've been such a drag	♪ Oh, lately <i> ♪ I've been such a drag </i> ♪ All down in the dumps, man ♪	drag	2	5340423	2319	US	2013			
Run those plates for me.	There's something off about them. <i> Run those plates for me. </i> Mine, Sheriff.	run	1	4953583	134	US	2013			
I'd be just this sob story you could use to bag more chicks.	And, you wouldn't have to pay full price... because, in a year or so... <i> I'd be just this sob story you could use to bag more chicks. </i> That is a pathetic characterization.	sob story	1	145382	574	US	2000			
She'd eat her ice cream with a fork.	Little things. <i> She'd eat her ice cream with a fork. </i> - Really?	fork	1	145382	622	US	2000			
You'd kill to be in his place.	Knock it off. <i> You'd kill to be in his place. </i> - Okay bitch, I'm ready.	kill	2	145382	224	US	2000	to agree with someone or about something.	https://www.urbandictionary.com/define.php?term=Kill	agree
Did they get off okay?	- Hey, Jen. <i> Did they get off okay? </i> Yeah.	get off okay	1	3279503	837	US	2008			
I think I'm just gonna, like, write him a really long letter just apologizing profusely and, you know, maybe send him an Edible Arrangement.	He could barely look at me. <i> I think I'm just gonna, like, write him a really long letter just apologizing profusely and, you know, maybe send him an Edible Arrangement. </i> Stop, stop.	gonna	1	6185084	1188	US	2015			
All right, what the hell is a black light bulb... doin' in a warehouse in Long Beach?	""" Detective Castlebeck, Glass shards from the warehouse... from a black light bulb available at any local hardware store."" <i> All right, what the hell is a black light bulb... doin' in a warehouse in Long Beach? </i> Come with me."	what the hell	1	135737	1740	US	2000			
Yeah, and in this case, a bunch of kids anonymously typing whatever comments they want feels like an atomic bomb, and that's definitely mightier than a sword.	"You ever heard the phrase,"" The pen is mightier than the sword""? <i> Yeah, and in this case, a bunch of kids anonymously typing whatever comments they want feels like an atomic bomb, and that's definitely mightier than a sword. </i> So make your writing have a positive effect."	mightier than a sword	1	6185084	1358	US	2015			
You can drill a loser all night long, and in the morning, you still got a loser:	A real leader wouldn't be practicing at midnight, Whit: <i> You can drill a loser all night long, and in the morning, you still got a loser: </i> - Put makeup on a pig--	drill	2	186160	1591	US	2004			
.. Hit me with your best shot..	.. Put up your dukes Let's get down to it.. <i> .. Hit me with your best shot.. </i> .. Why don't you hit me with your best shot..	dukes	1	186160	1934	US	2004			
Back your stank ass shit up off my flavor!	A bitch? <i> Back your stank ass shit up off my flavor! </i> Whooty-whoo!	stank	1	4574956	135	US	2011			
* You should cut down on your pork life, mate, get some exercise	* Who's that gut lord marching'? <i> * You should cut down on your pork life, mate, get some exercise </i> It started when we...	mate	2	4030209	182	UK	2003	a friend.	https://greensdictofslang.com/entry/ggq4dwq	friend
It got to a certain point after Morning Glory come out,..... and Wonderwall took off,..... it felt like everything was leading up to something that would define,..... er, not only the size of the band,...	I think everything... <i> It got to a certain point after Morning Glory come out,..... and Wonderwall took off,..... it felt like everything was leading up to something that would define,..... er, not only the size of the band,... </i> .. but what British pop music was about at that time.	er	1	4030209	759	UK	2003			
They can fucking move, can't they?	- Those fucking gendarmes, mate. <i> They can fucking move, can't they? </i> - Fuck.	fucking	3	4629499	695	UK	2012			
I said do you wanna move to another country with me?	What? <i> I said do you wanna move to another country with me? </i> No.	wanna	1	4629499	1157	UK	2012			
Stick' em up your fucking arse!	Right, take these pills. <i> Stick' em up your fucking arse! </i> Who're you fucking with?	'em	2	5151994	179	UK	2008	them, contracted version of		them
You're a fucking dead man, Miller!	Now, fuck off. <i> You're a fucking dead man, Miller! </i> So, you're the real life.	fucking	2	4398890	72	UK	2011			
Or I'm going to burn that shit hole of his down, with him still in it.	One fucking week. <i> Or I'm going to burn that shit hole of his down, with him still in it. </i> Fuck off.	shit hole	2	4177060	591	UK	2009	a disgusting place	https://greensdictofslang.com/entry/wgacuay	worthless
Guys, check out the board.	The Chinese. <i> Guys, check out the board. </i> Is she messing around with the Goldbach Conjecture?	guys	1	6237485	657	UK	2014			
* I'll bet he's coming out tonight	* Pressed for time <i> * I'll bet he's coming out tonight </i> * He's all right	coming out	1	4204063	29	UK	2009			
Yeah, well, it didn't fucking work.	I prayed for you last night. <i> Yeah, well, it didn't fucking work. </i> I think it did.	fucking	1	4987950	146	UK	2011			
Joseph, what you doing, man?	What do you want me to say to that? <i> Joseph, what you doing, man? </i> Knocking down the shed.	man	1	4987950	349	UK	2011			
- We've all done bad things, mate.	- Done some bad things. <i> - We've all done bad things, mate. </i> Aye.	mate	1	4987950	235	UK	2011			
Have I got any clean clothes here, sis?	You're an idiot. <i> Have I got any clean clothes here, sis? </i> Did Robbo do that?	sis	1	4471635	88	UK	2010			
Rest of you, fuck off!	Allright, out! <i> Rest of you, fuck off! </i> Fucking get out of here!	fuck off	2	3121411	490	UK	2006	leave		go away
And this door has gotta be fit for Donald Revie to walk through.	Come on. <i> And this door has gotta be fit for Donald Revie to walk through. </i> Well, chop- chop.	gotta	2	6782316	217	UK	2009			
I'm gonna be the man who goes along with you	Well, I know I'm gonna be <i> I'm gonna be the man who goes along with you </i> And when I come home When I come home	gonna	2	4107485	1226	UK	2010			
Yeah, but we have to keep him nice and clean, don't we?	Mr Rabbit doesn't like going in the dizzy machine. <i> Yeah, but we have to keep him nice and clean, don't we? </i> He said he doesn't mind being dirty.	yeah	2	6338678	78	UK	2008			
I'm gonna get me a couple of girls, get fucked all day, man.	You're simple, cuz, man. <i> I'm gonna get me a couple of girls, get fucked all day, man. </i> Sweet boy like you must have a ting you used to bang, man.	gonna	1	3345059	93	UK	2008			
- I thought you two were tight.	- I hate that bitch. <i> - I thought you two were tight. </i> - Were.	tight	2	3468388	773	US	2007			
Run the game with me.	Hey, man, y'all already up here. <i> Run the game with me. </i> I don't know.	run the game	1	3468388	139	US	2007			
Man, you must be crazy as hell if you think I'm going to see that redneck, man.	Come on, I'm serious. <i> Man, you must be crazy as hell if you think I'm going to see that redneck, man. </i> It's my sister, yo.	redneck	3	3468388	267	US	2007			
No, I'm saying that you eat the same thing every day, you go to work the same time every day, when we make love, you do it the same way every time.	No. <i> No, I'm saying that you eat the same thing every day, you go to work the same time every day, when we make love, you do it the same way every time. </i> I'm saying you're predictable.	love	1	5697912	1291	US	2012			
Hey, man, y'all already up here.	- What's up, yo? <i> Hey, man, y'all already up here. </i> Run the game with me.	man	1	3468388	138	US	2007			
It's hard as hell trying to find a payphone and you're not answering the phone.	You know I don't have a cell phone. <i> It's hard as hell trying to find a payphone and you're not answering the phone. </i> Inventory.	hard as hell	1	5697912	186	US	2012			
They're gonna think a sick perv committed suicide.	You know what the cops will think? <i> They're gonna think a sick perv committed suicide. </i> Before he did, he ran into the house, and you shotgunned your two boys as they slept in their beds.	gonna	1	3877824	622	US	2009			
If we shirk and take a caffeine drop?	I should have psychology. <i> If we shirk and take a caffeine drop? </i> One can then not shirk first week.	caffeine drop	1	5178727	178	US	2010			
You're pricing me out of the goddamn game.	This is bullshit, Dad. <i> You're pricing me out of the goddamn game. </i> Your roll, JoJo.	pricing me out	1	5166024	216	US	2013			
I could kill Jackson right now.	Only so it won't. <i> I could kill Jackson right now. </i> It's my experience that Eatenton women got veto power.	veto	1	5653079	848	US	2012			
We should wash that shit off.	Yeah, but the fuckin' bitch got blood all over the fuckin' sheets. <i> We should wash that shit off. </i> Pick your ass up off the bed so we can strip it, man.	shit	1	6406429	1434	US	2001			
You broke my tooth, you damn moron.	Goddamn it! <i> You broke my tooth, you damn moron. </i> Next time I'll break your head.	moron	2	6377252	725	US	2009			
- You have any cold drinks?	[ Speaks spanish] <i> - You have any cold drinks? </i> - You know where it is.	cold drinks	1	6801883	770	US	2014			
All right, let's have one humongous sandwich, and we'll cut it in half.	No, that's part of it. <i> All right, let's have one humongous sandwich, and we'll cut it in half. </i> We won't use mayo.	humongous	1	5340423	824	US	2013			
Now, put it to your temple and pull the fucking trigger.	Now cock it. <i> Now, put it to your temple and pull the fucking trigger. </i> - What?	fucking	2	6801883	901	US	2014			
But we got a rock-solid alibi, and all we gotta do is stick with it.	Of course they'll be all over us in the beginning. <i> But we got a rock-solid alibi, and all we gotta do is stick with it. </i> - The trucks, Mike.	alibi	2	6377252	396	US	2009			
You're gonna come fall in through the door behind me.	I need to know, you got my back. <i> You're gonna come fall in through the door behind me. </i> Don't worry your pretty little spick head off.	fall in	1	6801883	7	US	2014			
Could you show me how to run these plates?	That's why. <i> Could you show me how to run these plates? </i> Idiot!	idiot	1	4953583	214	US	2013			
He's an asshole, he almost broke my hand.	What country do Dutch people come from? <i> He's an asshole, he almost broke my hand. </i> He says his arm hurts from where you grabbed him.	asshole	2	4953583	355	US	2013			
Or he thinks he'll score better with another captain.	It gets rough up here, Dougie likes the sun down there. <i> Or he thinks he'll score better with another captain. </i> I didn't say that.	score	1	3372842	76	US	2000			
He's a well respected man about town	In his body and his mind <i> He's a well respected man about town </i> Doing the best things so conservatively	man about town	1	4109374	768	US	2010			
Man, what kind of pervert gets their jollies off playing with dog shit?	- Man, that's disgusting. <i> Man, what kind of pervert gets their jollies off playing with dog shit? </i> Look, man, I got' em!	jollies	2	135737	1695	US	2000			
You've been working the streets too long.	When did the world go so fucking insane? <i> You've been working the streets too long. </i> He was definitely here.	working the streets	2	3279503	722	US	2008			
You made a mistake picking a kid to do your dirty work.	Hey. <i> You made a mistake picking a kid to do your dirty work. </i> Made an even bigger mistake picking my kid brother.	dirty work	2	135737	2186	US	2000			
And let me know if anything clicks with our piano man.	I just heard the vic, Simon Campbell, has regained consciousness up at Covenant Hospital, so I'm gonna head over there and question him, all right? <i> And let me know if anything clicks with our piano man. </i> Hey, Ms. Pulitzer herself.	clicks	3	4218973	523	US	2011			
